         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64/48    0.003    0.000    0.171    0.004 compressed.py:20(__init__)
       16    0.001    0.000    0.185    0.012 compressed.py:276(_mul_sparse_matrix)
       16    0.001    0.000    0.005    0.000 compressed.py:526(tocoo)
       16    0.000    0.000    0.007    0.000 compressed.py:549(toarray)
       16    0.000    0.000    0.000    0.000 compressed.py:597(__set_sorted)
       64    0.002    0.000    0.003    0.000 compressed.py:622(prune)
      288    0.001    0.000    0.001    0.000 compressed.py:85(getnnz)
       16    0.000    0.000    0.000    0.000 compressed.py:90(_set_self)
        1    0.000    0.000    0.000    0.000 consts.py:2(<module>)
       16    0.001    0.000    0.004    0.000 coo.py:115(__init__)
       16    0.000    0.000    0.000    0.000 coo.py:141(coo_todense)
       32    0.001    0.000    0.001    0.000 coo.py:194(getnnz)
       16    0.001    0.000    0.003    0.000 coo.py:205(_check)
       16    0.000    0.000    0.002    0.000 coo.py:237(toarray)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
       16    0.000    0.000    0.148    0.009 csc.py:107(csc_tocsr)
       16    0.000    0.000    0.000    0.000 csc.py:118(tocsc)
       16    0.001    0.000    0.157    0.010 csc.py:124(tocsr)
       48    0.000    0.000    0.000    0.000 csc.py:173(_swap)
      192    0.001    0.000    0.001    0.000 csr.py:180(_swap)
       16    0.000    0.000    0.007    0.000 csr.py:244(csr_matmat_pass2)
       16    0.000    0.000    0.000    0.000 csr.py:70(expandptr)
       16    0.000    0.000    0.007    0.000 csr.py:74(csr_matmat_pass1)
    37952    7.157    0.000   59.365    0.002 cyttron.py:262(cleanDoc)
       16    0.559    0.035   73.977    4.624 cyttron.py:281(descMatch)
        1    0.110    0.110   74.514   74.514 cyttron.py:355(listDescMatch)
    37952    0.373    0.000    6.906    0.000 data.py:147(__init__)
    37952    0.198    0.000    2.939    0.000 data.py:164(open)
       80    0.000    0.000    0.001    0.000 data.py:17(__init__)
    37952    0.512    0.000    8.288    0.000 data.py:173(join)
       80    0.000    0.000    0.000    0.000 data.py:20(_get_dtype)
    37952    6.740    0.000   13.057    0.000 dictionary.py:98(doc2bow)
       16    0.000    0.000    0.000    0.000 docsim.py:188(close_shard)
       16    0.001    0.000    0.468    0.029 docsim.py:234(__getitem__)
      160    0.000    0.000    0.000    0.000 docsim.py:258(<lambda>)
       16    0.001    0.000    0.216    0.013 docsim.py:463(get_similarities)
