         47362941 function calls in 230.911 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  442.105  442.105 <string>:1(<module>)
       13    0.000    0.000    0.006    0.000 api.py:184(open)
       13    0.000    0.000    0.000    0.000 api.py:198(encoding)
        1    0.000    0.000    0.000    0.000 api.py:41(__init__)
       16    3.165    0.198  432.204   27.013 cyttron.py:171(wordMatch)
       16    0.281    0.018  442.104   27.631 cyttron.py:224(wordNetWordMatch)
        1    0.000    0.000  442.105  442.105 cyttron.py:351(listWordNetMatch)
       15    0.000    0.000    0.004    0.000 data.py:147(__init__)
       13    0.000    0.000    0.002    0.000 data.py:164(open)
       13    0.000    0.000    0.004    0.000 data.py:173(join)
        1    0.000    0.000    0.000    0.000 data.py:180(__str__)
        1    0.000    0.000    0.005    0.005 data.py:370(find)
       16    0.000    0.000    0.002    0.000 genericpath.py:15(exists)
        7    0.000    0.000    0.002    0.000 genericpath.py:26(isfile)
        7    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
       16    0.000    0.000    0.173    0.011 internals.py:29(convert_regexp_to_nongrouping)
       48    0.000    0.000    0.021    0.000 internals.py:48(subfunc)
       30    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       15    0.001    0.000    0.001    0.000 ntpath.py:398(normpath)
       15    0.000    0.000    0.002    0.000 ntpath.py:466(abspath)
       15    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
       14    0.000    0.000    0.000    0.000 ntpath.py:63(join)
     7524    0.051    0.000    0.173    0.000 re.py:134(match)
    65/17    0.000    0.000    0.157    0.009 re.py:144(sub)
   150544    1.204    0.000  276.793    0.002 re.py:169(findall)
       16    0.000    0.000    0.020    0.001 re.py:188(compile)
   150528    3.844    0.000    5.055    0.000 re.py:206(escape)
   158149    3.035    0.000  208.368    0.001 re.py:229(_compile)
        1    0.000    0.000    0.000    0.000 re.py:251(_compile_repl)
        1    0.000    0.000    0.000    0.000 re.py:271(_subx)
        1    0.000    0.000    0.000    0.000 re.py:277(filter)
       16    0.000    0.000    0.193    0.012 regexp.py:151(__init__)
       16    0.000    0.000    0.193    0.012 regexp.py:33(__init__)
       16    0.000    0.000    0.004    0.000 regexp.py:92(tokenize)
       64    0.001    0.000    0.006    0.000 sre_compile.py:184(_compile_charset)
       64    0.003    0.000    0.004    0.000 sre_compile.py:213(_optimize_charset)
      160    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
      134    0.001    0.000    0.002    0.000 sre_compile.py:360(_simple)
   150541    3.443    0.000   12.759    0.000 sre_compile.py:367(_compile_info)
150858/150541   19.655    0.000   35.564    0.000 sre_compile.py:38(_compile)
   301082    1.374    0.000    1.943    0.000 sre_compile.py:480(isstring)
   150541    1.585    0.000   50.185    0.000 sre_compile.py:486(_code)
   150541    2.811    0.000  203.167    0.001 sre_compile.py:501(compile)
      907    0.004    0.000    0.005    0.000 sre_parse.py:132(__len__)
     1722    0.008    0.000    0.012    0.000 sre_parse.py:136(__getitem__)
      150    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
  4237008   17.158    0.000   25.429    0.000 sre_parse.py:144(append)
150992/150675    6.481    0.000    7.234    0.000 sre_parse.py:146(getwidth)
   150558    0.780    0.000    2.561    0.000 sre_parse.py:184(__init__)
  4694303   31.499    0.000   47.946    0.000 sre_parse.py:188(__next)
   151354    0.362    0.000    0.365    0.000 sre_parse.py:201(match)
  4543450   19.202    0.000   65.365    0.000 sre_parse.py:207(get)
       32    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
   616321    5.048    0.000    8.097    0.000 sre_parse.py:263(_escape)
150610/150557    1.891    0.000  141.187    0.001 sre_parse.py:307(_parse_sub)
150739/150686   33.810    0.000  138.323    0.001 sre_parse.py:385(_parse)
150557/150541    2.421    0.000  148.150    0.001 sre_parse.py:669(parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:697(parse_template)
        6    0.000    0.000    0.000    0.000 sre_parse.py:704(literal)
   150557    0.437    0.000    0.437    0.000 sre_parse.py:73(__init__)
       53    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        1    0.000    0.000    0.000    0.000 sre_parse.py:784(expand_template)
       53    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
   150954    0.395    0.000    0.395    0.000 sre_parse.py:96(__init__)
        2    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        1    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
       16    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        1    0.000    0.000    6.607    6.607 util.py:42(__load)
        1    0.000    0.000    6.607    6.607 util.py:67(__getattr__)
3291/3019    1.003    0.000    1.638    0.001 wordnet.py:1000(_synset_from_pos_and_line)
     3430    0.109    0.000    2.569    0.001 wordnet.py:1121(synsets)
    13720    0.132    0.000    0.634    0.000 wordnet.py:1305(_morphy)
    13891    0.215    0.000    0.425    0.000 wordnet.py:1316(apply_rules)
    13987    0.066    0.000    0.077    0.000 wordnet.py:1322(filter_forms)
      933    0.004    0.000    0.123    0.000 wordnet.py:140(similar_tos)
     7522    0.047    0.000    0.047    0.000 wordnet.py:206(__init__)
     3291    0.028    0.000    0.028    0.000 wordnet.py:302(__init__)
      933    0.005    0.000    0.119    0.000 wordnet.py:760(_related)
        1    0.000    0.000    6.601    6.601 wordnet.py:797(__init__)
        1    4.634    4.634    6.552    6.552 wordnet.py:838(_load_lemma_pos_offset_map)
        1    0.021    0.021    0.047    0.047 wordnet.py:881(_load_exception_map)
     3291    0.016    0.000    0.026    0.000 wordnet.py:975(_data_file)
13360/12427    0.079    0.000    1.812    0.000 wordnet.py:987(_synset_from_pos_and_offset)
       16    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
   150541    0.786    0.000    0.786    0.000 {_sre.compile}
   150560   67.477    0.000   67.477    0.000 {built-in method findall}
     7524    0.015    0.000    0.015    0.000 {built-in method groups}
       50    0.000    0.000    0.000    0.000 {built-in method group}
     7524    0.043    0.000    0.043    0.000 {built-in method match}
    65/17    0.001    0.000    0.022    0.001 {built-in method sub}
